Rank,Release Group,Worldwide,Domestic,%,Foreign,%
88,In the Mood for Love 2020 Re-release,"$864,284",-,-,"$864,284",100%
89,The Box,"$762,076",-,-,"$762,076",100%
90,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
91,Lamb of God: The Concert Film,"$707,988","$707,988",100%,-,-
92,Long Story Short,"$663,815",-,-,"$663,815",100%
93,Our Friend,"$657,351","$657,351",100%,-,-
94,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
95,Music,"$641,783",-,-,"$641,783",100%
96,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
97,Maya the Bee 3: The Golden Orb,"$541,499",-,-,"$541,499",100%
98,Long Weekend,"$524,954","$524,954",100%,-,-
99,Dark Spell,"$515,596",-,-,"$515,596",100%
100,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
101,Twist,"$438,168",-,-,"$438,168",100%
102,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
103,Willy's Wonderland,"$418,286","$418,286",100%,-,-
104,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
105,Ainbo,"$405,519",-,-,"$405,519",100%
106,The Truffle Hunters,"$390,792",-,-,"$390,792",100%
107,Riders of Justice,"$376,314",-,-,"$376,314",100%
108,Russian Yug,"$348,435",-,-,"$348,435",100%
109,My Salinger Year,"$347,711","$54,730",15.7%,"$292,981",84.3%
110,Earwig and the Witch,"$347,120","$173,704",50%,"$173,416",50%
111,Supernova,"$344,495","$234,220",68%,"$110,275",32%
112,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
113,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
114,Dutch,"$323,167","$323,167",100%,-,-
115,Kabadadaari,"$302,563",-,-,"$302,563",100%
116,Abominable 2021 Re-release,"$299,583","$110,000",36.7%,"$189,583",63.3%
117,The Vault,"$296,473",-,-,"$296,473",100%
118,Dawn Raid,"$292,930",-,-,"$292,930",100%
119,Ginger's Tale,"$284,298",-,-,"$284,298",100%
120,Don't Heal Me,"$282,513",-,-,"$282,513",100%
121,American Skin,"$282,332","$282,332",100%,-,-
122,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
123,Cosmic Sin,"$246,325",-,-,"$246,325",100%
124,The Only Way Out,"$236,062",-,-,"$236,062",100%
125,Vellam,"$233,364",-,-,"$233,364",100%
126,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
127,2021 Oscar Nominated Short Films: Live Action,"$206,272","$206,272",100%,-,-
128,Ready o/r Knot,"$201,646",-,-,"$201,646",100%
129,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
130,Go Back,"$190,002",-,-,"$190,002",100%
131,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
132,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
133,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
134,Sound of Metal,"$173,622",-,-,"$173,622",100%
135,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
136,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
137,Blind,"$147,131",-,-,"$147,131",100%
138,No Man's Land,"$139,221","$139,221",100%,-,-
139,Food Club,"$135,750",-,-,"$135,750",100%
140,Scarecrow,"$128,665",-,-,"$128,665",100%
141,Anything for Jackson,"$116,317",-,-,"$116,317",100%
142,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
143,The World to Come,"$114,379","$114,379",100%,-,-
144,The Priest,"$110,855",-,-,"$110,855",100%
145,The Lord of the Rings: The Return of the King 2021 Re-release,"$106,953",-,-,"$106,953",100%
146,Shades Of The Heart,"$106,897",-,-,"$106,897",100%
147,Redemption Day,"$106,365",-,-,"$106,365",100%
148,Our Friend 2021 Re-release,"$100,668",-,-,"$100,668",100%
149,Safer at Home,"$100,323","$95,643",95.3%,"$4,680",4.7%
150,From the Vine,"$97,995",-,-,"$97,995",100%
151,Rang De,"$93,043",-,-,"$93,043",100%
152,Breaking News in Yuba County,"$90,933",-,-,"$90,933",100%
153,Khara Khaar,"$89,983",-,-,"$89,983",100%
154,Breakout Brothers,"$85,037",-,-,"$85,037",100%
155,The Lord of the Rings: The Two Towers 2021 Re-release,"$84,695",-,-,"$84,695",100%
156,Hvernig á að vera Klassa Drusla,"$82,183",-,-,"$82,183",100%
157,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
158,My Missing Valentine,"$74,787",-,-,"$74,787",100%
159,Song Song,"$74,389",-,-,"$74,389",100%
160,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$73,409",-,-,"$73,409",100%
161,Simple Passion,"$72,358",-,-,"$72,358",100%
162,Russia from Above,"$71,629",-,-,"$71,629",100%
163,Son,"$69,739","$55,068",79%,"$14,671",21%
164,Mick Fleetwood & Friends celebrate the music of Peter Green,"$68,235",-,-,"$68,235",100%
165,Sultan,"$68,071",-,-,"$68,071",100%
166,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
167,Come True,"$62,080","$62,080",100%,-,-
168,Haunted,"$54,903",-,-,"$54,903",100%
169,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
170,Dara of Jasenovac,"$52,786","$52,786",100%,-,-
171,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
172,My Zoe,"$50,820","$50,820",100%,-,-
173,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
174,Days of the Bagnold Summer,"$50,118",-,-,"$50,118",100%
175,Reel Rock 15,"$48,272",-,-,"$48,272",100%
176,Last Call,"$48,144","$48,144",100%,-,-
177,Maledetto Modigliani,"$46,035",-,-,"$46,035",100%
178,MLK/FBI,"$45,200","$45,200",100%,-,-
179,A Distant Place 2021 Re-release,"$44,768",-,-,"$44,768",100%
180,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
181,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
182,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
183,Little Fish,"$39,053","$39,053",100%,-,-
184,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
185,SAS: Red Notice,"$34,949",-,-,"$34,949",100%
186,Kieu @,"$34,914",-,-,"$34,914",100%
187,The People Upstairs,"$33,404",-,-,"$33,404",100%
188,Honeydew,"$32,890","$32,890",100%,-,-
189,Fighter,"$32,838",-,-,"$32,838",100%
190,One,"$32,817",-,-,"$32,817",100%
191,"Botticelli, Florence And The Medici","$31,645",-,-,"$31,645",100%
192,Shiva Baby,"$31,014","$31,014",100%,-,-
193,Bloody Hell,"$28,037","$28,037",100%,-,-
194,Playhouse,"$27,436",-,-,"$27,436",100%
195,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
196,Daisy Quokka: World's Scariest Animal,"$26,960",-,-,"$26,960",100%
197,The Night,"$26,114","$26,114",100%,-,-
198,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
199,Fear of Rain,"$24,565",-,-,"$24,565",100%
200,Breaking the Waves 2021 Re-release,"$23,500",-,-,"$23,500",100%
201,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
202,The Pinkies Are Back,"$22,947",-,-,"$22,947",100%
203,The Redeemers,"$22,283",-,-,"$22,283",100%
204,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
205,The Penitent Thief,"$21,507",-,-,"$21,507",100%
206,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
207,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
208,Beyond the Sky,"$19,761",-,-,"$19,761",100%
209,Kazdy ma swoje lato,"$19,619",-,-,"$19,619",100%
210,Dreamfactory 2021 Re-release,"$18,854",-,-,"$18,854",100%
211,Dead Reckoning,"$18,016",-,-,"$18,016",100%
212,Mystery of the Kingdom of God,"$17,316","$17,316",100%,-,-
213,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
214,Senior Moment,"$16,543","$16,543",100%,-,-
215,Easter in Art,"$14,442",-,-,"$14,442",100%
216,You Don't Mess with Little Bugs 2021 Re-release,"$13,621",-,-,"$13,621",100%
217,Body Brokers,"$13,472",-,-,"$13,472",100%
218,Stray,"$13,428","$13,325",99.2%,$103,0.8%
219,È per il tuo bene,"$12,023",-,-,"$12,023",100%
220,The Devil Below,"$12,008",-,-,"$12,008",100%
221,Rurangi,"$11,624",-,-,"$11,624",100%
222,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
223,Raphael: The Young Prodigy,"$11,290",-,-,"$11,290",100%
224,Kaadan,"$11,269",-,-,"$11,269",100%
225,About Hope,"$10,814","$10,814",100%,-,-
226,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,638",-,-,"$10,638",100%
227,Saina,"$10,377",-,-,"$10,377",100%
228,The Host,"$10,305",-,-,"$10,305",100%
229,All Hands on Deck,"$10,103",-,-,"$10,103",100%
230,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
231,Average Joe,"$9,176","$9,176",100%,-,-
232,Here We Are,"$9,128",-,-,"$9,128",100%
233,Sandeep Aur Pinky Faraar,"$8,735",-,-,"$8,735",100%
234,What Lies Below,"$8,550",-,-,"$8,550",100%
235,Ya Baada,"$7,582",-,-,"$7,582",100%
236,The Delivered,"$7,176",-,-,"$7,176",100%
237,The Incredible 25th Year of Mitzi Bearclaw,"$7,001","$7,001",100%,-,-
238,The United States vs. Billie Holiday,"$6,658",-,-,"$6,658",100%
239,Knuckledust,"$6,428",-,-,"$6,428",100%
240,Hunted,"$6,391",-,-,"$6,391",100%
241,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
242,Abandoned: Angelique's Isle,"$6,055","$6,055",100%,-,-
243,Barb and Star Go to Vista Del Mar,"$5,842",-,-,"$5,842",100%
244,Dark State,"$5,824","$5,824",100%,-,-
245,Uppena,"$5,794",-,-,"$5,794",100%
246,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
247,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
248,Zombie Bro,"$5,208","$5,208",100%,-,-
249,Things Don't Stay Fixed,"$5,127","$5,127",100%,-,-
250,Chasing the Dragon II: Wild Wild Bunch 2021 Re-release,"$5,105",-,-,"$5,105",100%
251,Dreamcatcher,"$5,033",-,-,"$5,033",100%
252,Women,"$4,864",-,-,"$4,864",100%
253,Wander,"$4,609",-,-,"$4,609",100%
254,Check,"$4,363",-,-,"$4,363",100%
255,No Place,"$4,194","$4,194",100%,-,-
256,438 Days,"$4,076",-,-,"$4,076",100%
257,Trash 2 Dash,"$3,965",-,-,"$3,965",100%
258,Belle & Sebastian,"$3,965",-,-,"$3,965",100%
259,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
260,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
261,Line of Descent,"$3,599",-,-,"$3,599",100%
262,Turn of the Screw,"$3,533",-,-,"$3,533",100%
263,Blood Brothers: Civil War,"$3,514","$3,514",100%,-,-
264,Sweet River,"$3,365",-,-,"$3,365",100%
265,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
266,The Seventh Day,"$3,027",-,-,"$3,027",100%
267,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
268,The Boonies,"$2,872","$2,872",100%,-,-
